,text,tweet_coord,tweet_created,tweet_location
496, how can you not put my bag on plane to Seattle Flight 1212 Waiting  in line to talk to someone about my bag Status should matter,,2015-02-23 13:18:00 -0800,
497,  hahaha If they werent an American company i would say this was great sarcasm,,2015-02-23 13:13:22 -0800,
498, i think he actually did not like your screen   ,"[51.72050559, 8.72711201]",2015-02-23 13:11:57 -0800,
499, Apparently they are asking 20 people to off board the planehow can such a big miscalculation be made,,2015-02-23 13:11:39 -0800,San Francisco Bay Area
500, Its a shame choosing United may be the difference between reuniting with aging friends and never seeing them again PoorService,,2015-02-23 13:11:39 -0800,"Ottawa, Ontario"
501, hi guys do you have a general enquires email address please Thanks David,,2015-02-23 13:11:37 -0800,London UK & USA
502, Just checking in again  what is the status of our claim   It is going on 2 months with no attention to this   We are very upset,"[0.0, 0.0]",2015-02-23 13:10:47 -0800,Vancouver/Beverly Hills
503, my flight was delayed due to maintenance in LIT and caused me to miss my connection at IAH to MSY Can you help,,2015-02-23 13:10:14 -0800,"Little Rock, AR"
504, UnitedAirlines Pls Fix AspenBaggageFail issues Had to pay my own way to Aspen after flight Cancelled Flight Left us in the cold in DEN,,2015-02-23 13:09:29 -0800,"Harlem, NYC"
505, Read my bio See who I work with I have NEVER encountered this with your airline before Disappointed is an understatement,,2015-02-23 13:09:04 -0800,"New York City, NY"
506, Does customer care have email or a phone rep that I can speak with We had so many issues they cant be placed in 2000 characters,,2015-02-23 13:07:55 -0800,Grand Rapids
507,Thank you  Tall I can certainly take a look Please follow and DM me your confirmation number for assistance JH,,2015-02-23 13:06:43 -0800,IL
508, In the process of recovering their car rental  condo rental  in Florida They called United for an alternate flight NOANSWER,,2015-02-23 13:06:32 -0800,"Ottawa, Ontario"
509, I am buying 2 yo own seat on 3 legs of intl trip car seat Required If not then allowed Can child still sit wmom after takeoff,,2015-02-23 13:05:59 -0800,"Roatan, Islas de la Bahia"
510, thanks for listening I definitely was not the only person in line who thought it was absurd,,2015-02-23 13:02:17 -0800,
511, Weve been waiting on tarmac for gt1hr because apparently UA1116 is overweight amp we returned to gate WTF fb,,2015-02-23 12:59:59 -0800,San Francisco Bay Area
512, Thank you Mention that before I boarded she asked 1other person to measure their bag and it was another woman Men not asked,,2015-02-23 12:59:53 -0800,Indiana
513, Cant leave the Tarmac uniteds gate agent cannot agree on a head count 20 min now counting a 100 people max epicfailunited,,2015-02-23 12:58:40 -0800,
514, Thats real dedication amp concern Your apologies dont fix the issue nor any of the miserable issues Ive had over the past 6 mos,"[29.7420124, -95.5606921]",2015-02-23 12:56:06 -0800,"Houston, TX"
515, blocked me from DMing them because they would rather I complain about them in a public forum,,2015-02-23 12:54:57 -0800,NJ 
516, ok I just submitted Thanks for the opportunity to give feedback,,2015-02-23 12:51:53 -0800,"Nashville, TN"
517, Big thanks to Ms Winston for assisting me over the phone with a baggage claim issue today She really went the extra mile,,2015-02-23 12:49:23 -0800,Washington DC
518, I will as soon as I am done with my article  Thanks  Tom,,2015-02-23 12:47:12 -0800,"Brunswick, Ohio"
519, booked flights for 2 for 779 Was charged 38950 twice Means I cant redeem CC points properly Would have gone elsewhere,,2015-02-23 12:46:04 -0800,"Kingston, Ontario"
520, Weve had a ton of problems with getting our bags and have been given the run around for a day Whats up with that,,2015-02-23 12:45:14 -0800,"Washington, DC"
521, pedophile airline Split myself and my 10 yr old daughter rows apart on flight 1254 to boston,,2015-02-23 12:44:23 -0800,
522, have been waiting 2 days for my military bags from an airport 3 hours away from me Horrible,,2015-02-23 12:42:13 -0800,with my brothers
523, Arriving 25 minutes early is nice but not if equipment isnt ready Waiting 30 minutes for luggage so far Time gains wiped out,"[40.6875448, -74.17714813]",2015-02-23 12:41:42 -0800,"New York, NY"
524, is doing musicians real dirty at LAX Ive never been blocked from getting on a flight with my bass,,2015-02-23 12:40:48 -0800,"New York City, NY"
525, Im rebooked now but the line was 300 people deep,,2015-02-23 12:40:47 -0800,
526, For those playing along at home ,,2015-02-23 12:36:16 -0800,
527,  yes they said it took more than an hour,,2015-02-23 12:36:14 -0800,Atlanta
528, those whose pay to actually fly with you over 30k year deserve better service than a CC holder,,2015-02-23 12:34:36 -0800,One of the C-gates at EWR.
529, Ok thank again for your help,,2015-02-23 12:33:30 -0800,Kona coast/Boston/Milan
530, Not a happy flyer  UA flight 1161 from SFO to Cleveland  Sunday 222  Stay tuned for blog article from ,,2015-02-23 12:29:30 -0800,"Brunswick, Ohio"
531,Thanks  r44 had a question about the wait time for baggage on UA6366,,2015-02-23 12:28:45 -0800,Edmonton International Airport
532, flight 1491plane from SFO to DEN is basically on time,,2015-02-23 12:26:20 -0800,"Washington, DC"
533, thanks Just a program comment the system assigned seats behind each other even though pairs were available I changed it back,,2015-02-23 12:25:22 -0800,Oakland by way of Chicago
534, 20 min more delays to flt 2086 at sfo 2 load 2 more pax makes no sense Will strand many of us overnight at ORD due to missed cnxns,,2015-02-23 12:25:20 -0800,
535, Heads up We didnt check 8 bags 2 we checked arrived those arent claim s for our 2 Other peoples bags ,"[19.43493094, -99.18877967]",2015-02-23 12:25:01 -0800,Mexico City
536, This must be a drone   We understand your frustration Our Bag team is working hard to get your bags to you,,2015-02-23 12:22:59 -0800,"Harlem, NYC"
537, Change made in just over 3 hours For something that should have taken seconds online I am not thrilled Loved the agent though,,2015-02-23 12:22:47 -0800,San Francisco CA
538, flight attendant doesnt understand not understanding English doesnt mean they are deaf Stop yelling English slowly to them,,2015-02-23 12:22:08 -0800,"New Jersey, USA"
539, Not appropriate to ask in public hence the dm each united employee each a new answer your process was such a hassle i Cancelled Flighted,,2015-02-23 12:19:17 -0800,"Oakland, CA"
540, well thats big of you but I dont have terribly high expectations at this point,,2015-02-23 12:16:34 -0800,
541, its like youre trying to make me hate your airline Fee for each checked bag thats never mentioned in the ticket  rude agents ,,2015-02-23 12:15:21 -0800,founder @IndiraCollection
542, nice your app says US 4972 delayed by weather  Pilot says waiting on fuel  One in ur control one not,,2015-02-23 12:14:56 -0800,
543, Please than Robin at EWR Premiere Desk for helping me get on a an earlier flight She did the work  Huge thanks,,2015-02-23 12:14:17 -0800,"Edison, NJ"
544, Ok thank you do you provide complimentary hotel accommodations since Ill have to stay overnight,,2015-02-23 12:11:32 -0800,Kona coast/Boston/Milan
545, I was originally trying to share details but the link Jimmy Samartzis Vice President  Customer Experience sent me expired,,2015-02-23 12:10:18 -0800,
546, really 3 hr delay 4 gate changes amp you boarded us sent us back up amp boarded us again  Wont change our flight Can we go now,,2015-02-23 12:06:13 -0800,
547, that would help or how about integrate it into the App so I can just activate it and surf,,2015-02-23 12:05:58 -0800,Las Vegas
548, I did The AC went on for about 20 minutes before returning to the Mojave Desert PressureCooker HeatTrap,"[29.7421541, -95.5600896]",2015-02-23 12:02:31 -0800,"Houston, TX"
549, Nope  still no one helped me  Giving up on united badservice,,2015-02-23 12:02:08 -0800,"Oakland, CA"
550, 8602947 jon at  thanks,,2015-02-23 11:58:30 -0800,"Santa Rosa, CA"
551, when an airline causes the missed connection u would think they would take whatever steps to remedy that screw up,,2015-02-23 11:56:23 -0800,"Long Island, NY"
552, Id thank you  but you didnt help  taking 6 hours to reply so I get a message in the middle of the night isnt actually helpful,,2015-02-23 11:49:30 -0800,"Oakland, CA"
553, Flight UA1270 is descending into farce and we havent left EWR yet Is this going to get any worse,,2015-02-23 11:48:29 -0800,"Brighton, UK"
554, I was told it was due to be on UA23 which flies direct to Dublin so why did it go to London This is a complete shambles,,2015-02-23 11:47:37 -0800,
555, 45 min at EWR baggage claim stillnobags ridiculous,,2015-02-23 11:47:06 -0800,
556,Flight Booking Problems for a travel writers trip I am hosting and need to be happy when I land Do you have the cute PJs AA does ,,2015-02-23 11:42:23 -0800,#Omaha 
557,But I dont see AA ,,2015-02-23 11:41:09 -0800,#Omaha 
558, Did you find out where it is Thanks,,2015-02-23 11:32:28 -0800,
559, On a standby to Denver which has been delayed and a confirmed to Aspen whose flights have been Cancelled Flighted all day 0 confidence,"[41.97745295, -87.91025951]",2015-02-23 11:27:25 -0800,Washington D.C.
560, yes at 2ambut now back on a plane again and delayed again due to baggage loading issue ,,2015-02-23 11:25:17 -0800,San Francisco
561, at what pt do u just Cancelled Flight  Finally got stndby 4 1pm flight What a day  missedWork clientNotHappy ,,2015-02-23 11:24:30 -0800,
562, thank YOU for your kindness Your agents went above amp beyond to get my stranded family home,,2015-02-23 11:17:36 -0800,Pittsburgh area
563, dont see a justifiable cost to get on an early flight with seats No airline charges to conveniently get their passengers in early,,2015-02-23 11:14:19 -0800,PDX
564, Woke up to notification flight moved 15 hrs early Barely made flight then 3 hrs layover in SFO  wanted to hop on earlier option,,2015-02-23 11:12:16 -0800,PDX
565, I will do delayed baggage claim when I land Hopefully the bag isnt broken into damaged or lost wc will result in more complaints,"[41.97475934, -87.89040377]",2015-02-23 11:09:38 -0800,"Stockholm, Sweden "
566, done Want me to send a screen shot of the second call which is now at over 45 minutes,,2015-02-23 11:08:31 -0800,San Francisco CA
567, look at this beauty  dc 10 united airlines  ,"[51.322819, 5.3576218]",2015-02-23 11:07:38 -0800,Winterfell
568, Thanks Ill fill up the form as soon as I land I dont like being duped so I hope you will appreciate my feedback amp will be better,"[41.97474769, -87.89039148]",2015-02-23 11:07:24 -0800,"Stockholm, Sweden "
569, this is the line in Denver to rebook due to weather issues DO BETTER ,,2015-02-23 11:07:20 -0800,
570, the ones who suffer I understand delays I dont understand trying speed up a process that has been delays to this extent,,2015-02-23 11:07:04 -0800,"Fort Wayne, Indiana"
571, 2 Cancelled Flighted flights Late Flightr agent claimed she put me on a new flight but then Cancelled Flighted it Coworker got on flight now delayed Now,"[41.97758466, -87.91065356]",2015-02-23 11:06:28 -0800,Washington D.C.
572, of urgency but this is ridiculous Your ceo claims to be customer focused yet when delays happen planes sit and customers are,,2015-02-23 11:06:11 -0800,"Fort Wayne, Indiana"
573, I wasnt asking for a full refund but delaying me 3 hours and giving no reason should be enough to give partial credit,,2015-02-23 11:05:20 -0800,Wherever I want to be 
574, flight was scheduled for 1156 its 105 and we havent moved I have never been on a flight where everyone moved without a sense,,2015-02-23 11:05:09 -0800,"Fort Wayne, Indiana"
575, ok thx,,2015-02-23 11:03:51 -0800,
576, I cant DM you so heres the confirmation  G8CVWJ  please is there any way I can make it to Kailua tonight Thank you,,2015-02-23 11:02:09 -0800,Kona coast/Boston/Milan
577, go to hell,,2015-02-23 11:01:58 -0800,"San Francisco, CA"
578, since bulkhead seats cannot have bags on floor why dont u reserve ohead space above those seats In 1B on UA246  not impressed,,2015-02-23 11:01:39 -0800,Vancouver BC
579, Definitely will,,2015-02-23 10:57:25 -0800,
580, Would be helpful if you could refresh boarding time info on boarding passes for delayed flights,,2015-02-23 10:56:40 -0800,"SF, CA"
581,  18 flights so far this year 13 delays including 2 Cancelled Flightations  Late Flightst reason crew needed mandatory sleep IN MEXICO,"[29.98788997, -95.34470061]",2015-02-23 10:54:35 -0800,
582, great to hear Thankyou so much Greatly appreciate your replies Feel much more settled now,,2015-02-23 10:51:51 -0800,Scotland
583, counter agents at RDU deserve a medal thankyou,,2015-02-23 10:48:04 -0800,Pittsburgh area
584,The saga of the  bag delay w   will there be a reunion or will she be forced to go shopping Stay tuned,,2015-02-23 10:46:46 -0800,New York 
585, Flight 211ORD gate agent tried to prevent me from taking onboard a bag Ive used for 15 years Flight crew was more reasonable,,2015-02-23 10:45:00 -0800,Indiana
586, thank you Literally called for preboarding as I ran up,,2015-02-23 10:43:45 -0800,"NEIN, London, or Maui. "
587, why do you guys split up the charges to credit cards Making it unnecessarily more expensive for people to fly with you guys on pts,,2015-02-23 10:43:33 -0800,"Kingston, Ontario"
588, it was UA381 on 14 Feb Point is overselling flights bad Making people wait 1hr while you kick them off after boarding is worse,,2015-02-23 10:39:52 -0800,"Ottawa, Ontario"
589, thats brilliant Thankyou so much Is it classed as part of carryon,,2015-02-23 10:38:01 -0800,Scotland
590, what gate is ua5396 leaving from,,2015-02-23 10:36:19 -0800,"NEIN, London, or Maui. "
591, thank you for listening to my compliant and doing the right thing I appreciate you working with me,,2015-02-23 10:36:11 -0800,Chicago
592, weve been here since 3am and youve Cancelled Flightled our flight twice,,2015-02-23 10:35:30 -0800,
593, no chance I wait in ORD all afternoon for another flight after you screwed me Hold 5396,,2015-02-23 10:34:58 -0800,"NEIN, London, or Maui. "
594, UA5396 can wait for me Im on the ground trying to get to the gate after we were moved to B This is crap,,2015-02-23 10:34:24 -0800,"NEIN, London, or Maui. "
595, from MEX N dates TBD but Im getting a 200 to 300 USD difference in my quotations through September when compared to MEX BKK,,2015-02-23 10:33:26 -0800,Mexico City
596, fails again  saves the day,,2015-02-23 10:32:40 -0800,"St. Louis, MO"
597, better just keep connection from ORD To FWA that boards in ten minutes open until I get off the plane that just landed an hour Late Flight,,2015-02-23 10:32:39 -0800,"NEIN, London, or Maui. "
598, is there a United gold number Ive been on hold 24 minutes and think I may be lost in nowhereland Have a gold reservation Help,,2015-02-23 10:31:50 -0800,"Rochester, NY"
599, Great Im ready to go home,,2015-02-23 10:30:22 -0800,"New Haven, CT"
600, wow you even answered back  Awesome   Thats customer service usairwaysfail,,2015-02-23 10:25:51 -0800,Pennsylvania
601, Its not my first time flying to the US I have medical info Looking for practical like my adapted seat cushion allowed on,,2015-02-23 10:23:49 -0800,Scotland
602, noooooooooooooooooooooope,"[45.52146907, -122.69810485]",2015-02-23 10:23:49 -0800,"SF mostly, NYC & London often."
603, Oh we are sure its not planned but it occurs absolutely consistently its usually the only YYJ flight thats Cancelled Flightled daily,,2015-02-23 10:18:49 -0800,Downtown Victoria
604,   outsource it all United Airlinesyour customers  are just loving you for it Outsource Outsource Outsource,,2015-02-23 10:18:12 -0800,Chicago Illinois Crime.Inc
605, Hi Im flying SFOLAXSALCLO My connecting time in LAX is 1h45m Is it enough time Do I have to collect my bag and recheck on AV,,2015-02-23 10:16:39 -0800,"Cali,Colombia"
606, Thank you You need to follow back tho otherwise I cant DM you X,,2015-02-23 10:15:27 -0800,Kona coast/Boston/Milan
607, its not getting any better Id suggest you get a senior manager to this gate  then retrain these gate people,,2015-02-23 10:13:37 -0800,"CT, NY and most other states"
608, States faundation was by faith Judeo Cristian it was by ideologias ,,2015-02-23 10:13:20 -0800,"East Coast, US "
609,   nothing like supporting your own mechanics and maintenance workersinstead United puts out a video of TIMCO doing wifi,,2015-02-23 10:12:51 -0800,Chicago Illinois Crime.Inc
610, Just sent Thanks ,,2015-02-23 10:12:47 -0800,Los Angeles
611, already missed  connection ugh,,2015-02-23 10:12:00 -0800,
612,   sure show a video of your outsourced favorite TIMCO who has a knack for doing substandard maintenance work on aircraft,,2015-02-23 10:11:22 -0800,Chicago Illinois Crime.Inc
613, How do I formally complain about your customer service handler who misconnected me I was denied boarding amp I now lost my bag Help,"[41.97495038, -87.89005988]",2015-02-23 10:10:19 -0800,"Stockholm, Sweden "
614, there are a lot of unhappy cold people on the bridge in freezing temps for an hour Not given any info,,2015-02-23 10:10:02 -0800,"CT, NY and most other states"
615, flight 3763 IAdSat Were on the outdoor track for an hour,,2015-02-23 10:08:05 -0800,"CT, NY and most other states"
616,  SERIOUSLY its 2015  NO WiFi on a 5hr flight from CLESFO 1589  Youre the ONLY airline wout WiFiand pls no unwind BS,,2015-02-23 10:06:43 -0800,
617, u would not be able to rebook me to get home any sooner than a now 2hr delayed flight  linesforever customerservice fail again,,2015-02-23 10:04:32 -0800,
618, youre the reason this whole travel experience has been a nightmare,,2015-02-23 10:04:09 -0800,
619, what a pointless tweet At least  asked me to follow them to try and resolve,,2015-02-23 10:03:52 -0800,
620, thats not even an apology,,2015-02-23 10:03:32 -0800,
621, thats cool  now what,,2015-02-23 10:03:08 -0800,
622,  SERIOUSLY its 2015  NO WiFi on a 5hr flight from CLESFO 1589  Youre the ONLY airline without WiFi,,2015-02-23 09:59:58 -0800,
623, b4 boarding this attendant took his shoe ampsock off at the desk and showed other agents his foot So gross ,,2015-02-23 09:57:37 -0800,
624, are you able to see if there are seats open on another flight,,2015-02-23 09:57:16 -0800,Los Angeles
625, unitedairlines so is it 620 pm or 1220   ORD ABQ 3709   I cant even take a walk without missing a change,,2015-02-23 09:57:13 -0800,"North Suburbs, IL  (Chicago)"
626, Hopefully my baggage fees will be waived tomorrow when I actually get on a flight as well as compensation for my hotel room,,2015-02-23 09:55:25 -0800,
627, Either is fine However plundering my hardearned dollars is not fine,,2015-02-23 09:55:21 -0800,"Pittsburgh, PA"
628,  hahaha At least they gave u a refund,,2015-02-23 09:54:52 -0800,
629, your SFOYYJ fight is Cancelled Flightled several times each week why even bother,,2015-02-23 09:53:40 -0800,Downtown Victoria
630, and now while waiting for new pilot the door on plane BROKE why am I global services status  on an airline thats unsafe STUNNING,,2015-02-23 09:51:02 -0800,
631, How do I get reimbursed for hotel and taxis for the Cancelled Flightation,"[0.0, 0.0]",2015-02-23 09:48:32 -0800,"Bay Area, CA"
632, Awesome flight crew on UA1589 re the plane  the  Jurassic period called and they want their dinosaurplane back,,2015-02-23 09:47:49 -0800,"Cleveland, Ohio"
633, In 2015 United is unable to look up a flight reservation by passenger name at the YYZ checkin counter  WOW smh customerservice,,2015-02-23 09:46:54 -0800,"Toronto, Canada"
634, eticket  0162389030167 refund request  16866853 case id  8465981,,2015-02-23 09:46:13 -0800,"Pittsburgh, PA"
635, been on the phone for over an hour with customer service and they cant figure it out awesome service NOT,,2015-02-23 09:45:35 -0800,"ÜT: 34.078171,-118.285555"
636, You really know how to piss people off Your Farelock option is fake,,2015-02-23 09:44:12 -0800,"ÜT: 34.078171,-118.285555"
637, last week shanghai to sfo 858 delay 5hrs bc of engine today sfosea delay to sick pilot no compensation They Do Not Care,,2015-02-23 09:44:04 -0800,
638, only thing confusing me is why I lost priority boarding Im a mileage plus card member ,,2015-02-23 09:43:56 -0800,"Fort Wayne, Indiana"
639, Were hoping to hear from you actually,,2015-02-23 09:43:50 -0800,Grand Rapids
640, shes been rescheduled for today but with the frigid cold being a possible reason for maintenance it could be the same issue 2day,,2015-02-23 09:43:45 -0800,Grand Rapids
641, Its the fact that an international should not be with out her bag and no sense of whats going on other than maintenance,,2015-02-23 09:42:22 -0800,Grand Rapids
642, b I contacted you directly and the phone service was Laissez Faire at best  The problem isnt a Cancelled Flightled a flight,,2015-02-23 09:42:10 -0800,Grand Rapids
643, a shes an international Her phone is on the fritz I had to get to Chicago from nearly 4 hrs away to figure everything out,,2015-02-23 09:41:46 -0800,Grand Rapids
644, sorry for the delayed response It was UA 381 Chicago to San Fran Held up for almost an hour on the Tarmac Also lost my bags,,2015-02-23 09:39:10 -0800,"Ottawa, Ontario"
645, Okay thanks if you could please update me I was told at the airport someone would call me today but they havent,,2015-02-23 09:39:08 -0800,
646, thank you very much for the help Were do I pick up my bags aspen airport amp are they coming in today on flight911,,2015-02-23 09:36:37 -0800,
647, gate C 24 IAD U released passengers to board wothers deplaning 50 peopleOn bridge while next flight  board ,,2015-02-23 09:36:04 -0800,"CT, NY and most other states"
648, Id say most of the public cant extend their vacation a week point is why advertise multiple flights you cant honor,,2015-02-23 09:34:51 -0800,H-town
649, Cancelled Flights flt from EWR No crewTells wife amp 4 yr old to get to NY to catch  to YYZ Good customerservice is dead,,2015-02-23 09:32:48 -0800,"Toronto, ON.....for now."
650, Now arriving a day and a half Late Flightr than supposed to Lesson of the day dont believe verbal or written confirmations from United,,2015-02-23 09:32:33 -0800,
651, BUT you have received confirmation via email that you are confirmed and ticketed on this flight,,2015-02-23 09:30:05 -0800,
652, Arriving at the airport 2 hours before departure time and still missing your flight bc you actually dont have an electronic ticket,,2015-02-23 09:28:35 -0800,
653, 175 hour delay  Nothing says sorry like a voucher  Missing time with family  family precioustime,,2015-02-23 09:27:48 -0800,
654, After speaking to a United customer service rep the night before a flight confirming that everything is ok with your reservation,,2015-02-23 09:25:44 -0800,
655, has two whole people trying to schedule a flights worth of missed connections Shameful ,,2015-02-23 09:23:55 -0800,"Arlington, VA"
656, is unfriendly screw family that hates kids and moms now waiting on  UA871 pray its better FYVRFN due to agent error and tickt,,2015-02-23 09:22:58 -0800,Taipei
657,  gate agent at EWR  if you are disabled or in a wheel chair its time to board please step STEP UP Lol,,2015-02-23 09:20:45 -0800,"CT, NY and most other states"
658, it wont helpbeen there done that,"[29.98877308, -95.33846478]",2015-02-23 09:20:25 -0800,USA
659, forces us to check our baby bag on overbooked flight complains to wife that we need to much for our baby united has no baby meals,,2015-02-23 09:17:31 -0800,Taipei
660, would love help getting there today In EWR now Will take any airline and connections Thx,,2015-02-23 09:16:51 -0800,"Burlington, Vermont"
661, today take flight to san francisco  refuse to let us board with baby early time we board wont let us take baby carryon bag,,2015-02-23 09:16:19 -0800,Taipei
662, we had four scheduled flights on this reservation and literally did not take one Unreal,,2015-02-23 09:14:32 -0800,
663, in ORD hotel issued to my 4yr old Tickets needed fixing again another hour and 5 agents l8r nightmare still not over,,2015-02-23 09:14:19 -0800,Taipei
664, 3 hours to rebook but 8 hours l8r the same problem again Arrive at gate stopped cause now infant is sitting in 4 yr old lap,,2015-02-23 09:12:56 -0800,Taipei
665, arrived in YYZ to take our flight to Taiwan Reservation missing our ticket numbers Slow agent Sukhdeep caused us to miss our flt,,2015-02-23 09:12:06 -0800,Taipei
667, Thanks for the update,,2015-02-23 09:09:59 -0800,"New Haven, CT"
668, and those three people were awesome working very long hours It is easy to say sorry on Twitter but you should help your ppl ,,2015-02-23 09:09:11 -0800,
669, I guess But what is the excuse for understaffed costumer services 3 people had to deal with lots of angry passengers Weather too,,2015-02-23 09:08:16 -0800,
670, now you have Cancelled Flightled my wife and daughters flt Whats going on Follow me so I can dm details,,2015-02-23 09:04:02 -0800,"Toronto, ON.....for now."
671, Has it departed I was awaiting an inbound plane yesterday for three hours and it never arrived Had to stay overnight again,,2015-02-23 09:02:56 -0800,"New Haven, CT"
672, UnitedAirlines Any other way ORD to ABQ anytime within the next 7 hours,,2015-02-23 09:02:24 -0800,"North Suburbs, IL  (Chicago)"
673, just confirmed a seat Crisis averted Beers wont be missed now,,2015-02-23 09:01:13 -0800,Georgia
674, was that English Ill DM though I dont think youll make a plane appear,,2015-02-23 09:00:47 -0800,"San Diego, CA"
675, looks like today will be my 6th consecutive delayed flight from youdo I win a prize  Air why dont you fly to SBA ,,2015-02-23 08:59:33 -0800,california
676, sitting in a plane with no pilot  Thanks waitingonapilot denver siouxfalls whyairtravelsucks,,2015-02-23 08:57:18 -0800,
677, Understood and thanks I should have tried reaching out sooner,,2015-02-23 08:57:11 -0800,Chicago
678, already done that the answer i got was oops we can give you miles and were very sorry but who pays for my discomfort for 9 h,,2015-02-23 08:55:25 -0800,"Santiago, Chile"
679, received hotel but no food  Also email for 3750 miles  Last trip had 3 hr delay and 5000 miles  so less for Cancelled Flightlation,,2015-02-23 08:54:26 -0800,
680, Do we know why UA5282 is delayed x2 This is getting crazy Ive already had 2 overnight delays UnitedAirlines,,2015-02-23 08:52:56 -0800,"New Haven, CT"
681, follow back and Ill give you the details,,2015-02-23 08:50:52 -0800,"Bardstown, KY"
682, and most frustratingly all this delay happened either at the gate or even onboard the aircraft No heads up in advance,,2015-02-23 08:50:15 -0800,
683, The DEN b44 agent 930am was amazing The MPAgent at check in She sucks    ,,2015-02-23 08:50:06 -0800,
684, my UA3426 on 219 was also delayed by 2 hours stretching my trip way past the midnight extremely exhausting,,2015-02-23 08:48:43 -0800,
685, Ha you rebooked me in to an 11 hr layover amp are robbing me of a night with my family Too Late Flight for that Just fly on time for once,,2015-02-23 08:48:03 -0800,"Research Triangle, NC"
686, switched to fly united from delta for the past two trips and was very disappointed Now my UA4646 on 223 is delayed by 3 hours,,2015-02-23 08:46:23 -0800,
687, traveling with  who is injured Gate agent in Chicago was awesome helping her TY roadwarrior,,2015-02-23 08:46:18 -0800,"Ashtabula, OH"
688,  UnitedAirlines  how long will1531 be delayed,,2015-02-23 08:45:21 -0800,Colorado
689, Why isnt the flight status updated to delayed UA1532 no board,,2015-02-23 08:42:34 -0800,Colorado
690, I paid for economy plus and you put me in the last boarding group so I have to gate check my bags too  knows better,,2015-02-23 08:41:43 -0800,San Francisco Bay Area
691, i travelled from SCL IHA feb 17 the AC on my sit 21L was ON all night I complaint to FA who never gave me a real answer Help,,2015-02-23 08:38:19 -0800,"Santiago, Chile"
692, you suck    9 hour delay,,2015-02-23 08:38:03 -0800,"North Suburbs, IL  (Chicago)"
693, you are the worst airline in the world From your crap website to your worthless app to your Late Flight flight You SUCK Just shut down,,2015-02-23 08:30:08 -0800,"Mountlake Terrace, WA"
694,  scott need a good book suggestion,,2015-02-23 08:26:15 -0800,"ÜT: 37.427592,-122.116357"
695, JH thanks so much for reaching out I was able to get assistance after waiting for 70 minutes,,2015-02-23 08:23:47 -0800,Chicago
696, 3866 is at a stand still No pilot or paperwork for fix over 25mins Problem was fixed 30mins ago Flight is as is delayed,,2015-02-23 08:21:29 -0800,New Jersey
697, please see dm,,2015-02-23 08:19:25 -0800,New York
698, Is it reasonable to wait 45 mins for the bag you made me check because the flight staff couldnt police the overhead bins,,2015-02-23 08:05:01 -0800,
699, Please msg me a  for customer service I will have an invoice for my dry cleaning but wont be able take wet clothes to the airport,,2015-02-23 07:55:20 -0800,"Hilo, HI"
700, AN HOUR DELAY BECAUSE YOU CANT PRINT A PIECE OF PAPER,,2015-02-23 07:55:20 -0800,"Washington, DC"
701, still no response,,2015-02-23 07:54:50 -0800,"Los Angeles, CA"
702, 4 people MCI to DEL Preferably with Jet Airways EWRBRUDEL segment Anytime in December,,2015-02-23 07:52:11 -0800,"Kansas City, Missouri"
703, should have been able to get seat assign without paying 174 more  cust sec should have done that for me,,2015-02-23 07:48:42 -0800,"Ashburn, VA"
704, There is no reference number Your agent told me to just drive to the airport because I cant reach anyone there to deliver,,2015-02-23 07:47:33 -0800,"Coventry, Connecticut"
705, Slightly better Crew spent a long time searching for better altitude Would have helped to let pax in on why all the sharp drops,,2015-02-23 07:47:17 -0800,"Stumptown, Baby!"
706, My credit card was charged on the transaction when I was told it would not be If the charge goes through I will be contacting you,,2015-02-23 07:44:22 -0800,New York
707, my PQMs and PQDs are no longer showing up correctly in my MileagePlus acct How can I get this fixed,,2015-02-23 07:43:10 -0800,
708, Thanks,,2015-02-23 07:42:30 -0800,Frequently DC/NYC/San Diego
709, 768 SFO to BOS and no internet it is 2015 what gives,,2015-02-23 07:38:24 -0800,"Needham, MA"
710, is the worst Worst reservation policies Worst costumer service Worst worst worst Congrats  youre not that bad,,2015-02-23 07:31:10 -0800,"Milwaukee, WI"
711, I am trying to makechange reservations and getting extremely frustrated Giving up and trying another airline,,2015-02-23 07:28:20 -0800,"Princeton, NJ"
712, I got email update but still no ETA More communicationdetails apology  info on compensation rights would go a long way,,2015-02-23 07:24:01 -0800,
713, Late Flight crew into btv last nite delayed todays flt Will miss connection to cun Why do I have to play for hotel tonight in ewr,,2015-02-23 07:23:51 -0800,"Burlington, Vermont"
714, no they arent  I just called to check WORSTCUSTOMERSERVICE,,2015-02-23 07:22:21 -0800,"Maui, Hawaii"
715, passengers should have been rerouted to match the intended arrival time even if you have to incur cost to put us in other airlines,,2015-02-23 07:21:04 -0800,"San Francisco, California"
716, been solved  they finally picked up the second time I called  thanks for the response JH  721 to dulles works,,2015-02-23 07:20:42 -0800,
717, need to work on your United flierfriendly program At the very least clue in your flight attendants,,2015-02-23 07:16:48 -0800,
718, space Doctors notes and everything And on my first trip they lost my first suitcase Among other issues not pleased with united,,2015-02-23 07:16:10 -0800,
719, s new flierfriendly is garbage Just had to cry to get attendant to find a place for my medical supplies with limited overhead,,2015-02-23 07:15:10 -0800,
720, epic fail  no jetway been here 15 mins on tarmac,,2015-02-23 07:13:39 -0800,"Williamsburg, VA"
